"id","label","entity_type","openatlas_class","tradition","tradition_context","date","prg_number","alt_id","source_xml","description"
"PRG-207","In pistrino».","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","CCVII","(PRG n. CCVII; Vogel-Elze, LE TEXTE II (NN. XCIX-CCLVIII); extracted from PDF p. 812)","CARo - Pontifical Romano-Germanique.XML","In pistrino». (PRG-207)"
"PRG-208","In lardario.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","CCVIII","(PRG n. CCVIII; Vogel-Elze, LE TEXTE II (NN. XCIX-CCLVIII); extracted from PDF p. 812)","CARo - Pontifical Romano-Germanique.XML","In lardario. (PRG-208)"
"PRG-209","In potionario.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","CCIX","(PRG n. CCIX; Vogel-Elze, LE TEXTE II (NN. XCIX-CCLVIII); extracted from PDF p. 812)","CARo - Pontifical Romano-Germanique.XML","In potionario. (PRG-209)"
"PRG-211","Oratio post introitum basilicae.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","CCXI","(PRG n. CCXI; Vogel-Elze, LE TEXTE II (NN. XCIX-CCLVIII); extracted from PDF p. 813)","CARo - Pontifical Romano-Germanique.XML","Oratio post introitum basilicae. (PRG-211)"
"PRG-212","Benediccio super capsellas et fustes et super eos qui cum","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","CCXII","(PRG n. CCXII; Vogel-Elze, LE TEXTE II (NN. XCIX-CCLVIII); extracted from PDF p. 814)","CARo - Pontifical Romano-Germanique.XML","Benediccio super capsellas et fustes et super eos qui cum (PRG-212)"
"PRG-213","Benedictio seminum.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","CCXIII","(PRG n. CCXIII; Vogel-Elze, LE TEXTE II (NN. XCIX-CCLVIII); extracted from PDF p. 815)","CARo - Pontifical Romano-Germanique.XML","Benedictio seminum. (PRG-213)"
"PRG-215","Benedictio in campo sive in agro qnando agitur letania.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","CCXV","(PRG n. CCXV; Vogel-Elze, LE TEXTE II (NN. XCIX-CCLVIII); extracted from PDF p. 819)","CARo - Pontifical Romano-Germanique.XML","Benedictio in campo sive in agro qnando agitur letania. (PRG-215)"
"PRG-216","Item benedictio Irugum in agro.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","CCXVI","(PRG n. CCXVI; Vogel-Elze, LE TEXTE II (NN. XCIX-CCLVIII); extracted from PDF p. 820)","CARo - Pontifical Romano-Germanique.XML","Item benedictio Irugum in agro. (PRG-216)"
"PRG-217","M as.: B, f. *; G, f. '.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","CCXVII","(PRG n. CCXVII; Vogel-Elze, LE TEXTE II (NN. XCIX-CCLVIII); extracted from PDF p. 820)","CARo - Pontifical Romano-Germanique.XML","M as.: B, f. *; G, f. '. (PRG-217)"
"PRG-219","Ad omnia quae volueris.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","CCXIX","(PRG n. CCXIX; Vogel-Elze, LE TEXTE II (NN. XCIX-CCLVIII); extracted from PDF p. 821)","CARo - Pontifical Romano-Germanique.XML","Ad omnia quae volueris. (PRG-219)"
